machine_id,plant_id,machine_type,model,install_date,last_service_date,status,operational_hours,energy_consumption_kwh,location_zone
MCH-0250,PLT-02,Lathe,Siemens S7-1500,2020-01-16,2020-07-09,Active,35858,28.06,Zone-B
MCH-0157,PLT-01,Lathe,SINAMICS G120,2018-03-20,2019-11-30,Active,38868,59.52,Zone-A
MCH-0095,PLT-07,Inspection Bot,SINUMERIK 840D,2018-07-19,2020-04-08,Under Maintenance,20685,6.19,Zone-B
MCH-0236,PLT-10,Robotic Arm,SIRIUS 3RW,2016-11-03,2017-03-06,Under Maintenance,37905,110.19,Zone-C
MCH-0127,PLT-01,CNC Mill,SIMATIC ET200,2021-03-29,2021-08-24,Active,20965,33.24,Zone-B
MCH-0187,PLT-04,CNC Mill,SINUMERIK 840D,2022-07-12,2024-06-14,Active,34430,85.3,Zone-A
MCH-0118,PLT-08,Robotic Arm,SIMOTION D,2017-10-18,2020-01-04,Active,22479,52.77,Zone-A
MCH-0292,PLT-10,Welding Unit,SINAMICS G120,2017-07-02,2018-12-10,Active,3884,117.54,Zone-B
MCH-0440,PLT-06,Inspection Bot,SINUMERIK 840D,2017-11-20,2020-04-29,Active,7948,88.15,Zone-B
MCH-0232,PLT-08,Lathe,Siemens S7-1500,2019-04-20,2019-09-13,Active,11938,83.42,Zone-A
MCH-0233,PLT-02,Press,SIMATIC ET200,2018-11-05,2019-09-04,Under Maintenance,33614,40.42,Zone-D
MCH-0480,PLT-09,Robotic Arm,Siemens S7-1500,2016-01-17,2018-02-28,Active,17690,36.48,Zone-D
MCH-0081,PLT-02,Lathe,SIRIUS 3RW,2018-08-26,2020-01-04,Idle,20987,104.84,Zone-B
MCH-0126,PLT-05,Robotic Arm,SIMOTION D,2017-01-06,2018-03-02,Idle,48179,57.31,Zone-D
MCH-0392,PLT-06,CNC Mill,SIMATIC ET200,2023-01-05,2023-12-25,Active,16144,114.97,Zone-D
MCH-0312,PLT-05,Welding Unit,SIMOTION D,2018-03-06,2019-08-17,Under Maintenance,49400,71.21,Zone-A
MCH-0071,PLT-05,CNC Mill,Siemens S7-1500,2015-06-24,2016-12-14,Idle,13730,111.52,Zone-A
MCH-0303,PLT-02,Lathe,SIRIUS 3RW,2018-06-22,2020-03-10,Active,22995,71.82,Zone-D
MCH-0313,PLT-01,Lathe,SINAMICS G120,2018-12-19,2019-06-13,Active,3589,47.57,Zone-C
MCH-0403,PLT-10,Welding Unit,SINUMERIK 840D,2016-11-04,2018-09-19,Active,25035,59.16,Zone-D
MCH-0039,PLT-08,Welding Unit,SIRIUS 3RW,2015-09-16,2017-05-26,Active,25072,34.65,Zone-A
MCH-0138,PLT-03,CNC Mill,SINAMICS G120,2019-05-23,2021-03-18,Active,41442,28.61,Zone-D
MCH-0166,PLT-01,CNC Mill,SINAMICS G120,2023-02-09,2024-12-12,Active,46639,92.81,Zone-B
MCH-0029,PLT-02,Robotic Arm,SIMATIC ET200,2020-10-26,2022-02-19,Under Maintenance,822,47.18,Zone-B
MCH-0133,PLT-03,Conveyor,SIRIUS 3RW,2020-11-28,2021-05-11,Active,18323,112.34,Zone-B
MCH-0487,PLT-01,Robotic Arm,Siemens S7-1500,2017-03-01,2019-07-02,Under Maintenance,1288,59.05,Zone-C
MCH-0272,PLT-08,Welding Unit,SINAMICS G120,2023-11-06,2024-12-31,Active,48086,37.71,Zone-B
MCH-0287,PLT-07,Inspection Bot,SIRIUS 3RW,2016-07-23,2017-02-16,Active,2173,109.21,Zone-C
MCH-0408,PLT-07,Lathe,SINAMICS G120,2021-05-02,2023-04-13,Active,24149,83.33,Zone-D
MCH-0031,PLT-02,CNC Mill,SIMOTION D,2021-09-07,2023-02-04,Under Maintenance,6417,79.09,Zone-C
MCH-0132,PLT-09,CNC Mill,Siemens S7-1500,2023-04-04,2024-06-11,Active,26333,41.99,Zone-A
MCH-0479,PLT-06,Lathe,SIMOTION D,2021-10-13,2024-02-10,Active,25935,7.18,Zone-C
MCH-0365,PLT-01,CNC Mill,SIRIUS 3RW,2015-10-01,2017-02-02,Idle,29642,23.06,Zone-D
MCH-0284,PLT-05,Inspection Bot,SIRIUS 3RW,2019-08-09,2021-03-28,Active,22632,81.2,Zone-D
MCH-0466,PLT-04,Welding Unit,SINUMERIK 840D,2017-05-01,2017-07-14,Active,7614,50.55,Zone-B
MCH-0325,PLT-01,Robotic Arm,SIRIUS 3RW,2023-11-05,2024-12-31,Under Maintenance,27153,58.69,Zone-B
MCH-0200,PLT-05,Robotic Arm,SIMOTION D,2021-01-15,2023-02-14,Idle,31213,50.13,Zone-D
MCH-0099,PLT-04,Welding Unit,SINAMICS G120,2022-12-06,2023-12-10,Active,27192,51.82,Zone-D
MCH-0083,PLT-02,Inspection Bot,SIRIUS 3RW,2015-10-10,2016-01-28,Active,32624,112.31,Zone-A
